case_index,batch_index,graph_index,original_mode_index,base_mode_index,compare_mode_index,original_risk,base_risk,risk_gap,original_fde,base_fde,compare_fde,original_miss,base_miss,compare_miss,base_switch,compare_switch,blocked_by_compare_margin,base_hit_to_miss,base_miss_to_hit,compare_hit_to_miss,compare_miss_to_hit
0,0,0,4,5,5,0.6733715534210205,0.47716525197029114,0.19620630145072937,6.182765960693359,2.959000825881958,2.959000825881958,1,1,1,1,1,0,0,0,0,0
1,0,1,4,4,4,0.7322435975074768,0.7322435975074768,0.0,2.3408424854278564,2.3408424854278564,2.3408424854278564,1,1,1,0,0,0,0,0,0,0
2,0,2,4,4,4,0.3950100243091583,0.3950100243091583,0.0,0.45182913541793823,0.45182913541793823,0.45182913541793823,0,0,0,0,0,0,0,0,0,0
3,0,3,4,4,4,0.31924107670783997,0.31924107670783997,0.0,0.9716211557388306,0.9716211557388306,0.9716211557388306,0,0,0,0,0,0,0,0,0,0
4,0,4,4,4,4,0.5103015303611755,0.5103015303611755,0.0,1.4114092588424683,1.4114092588424683,1.4114092588424683,0,0,0,0,0,0,0,0,0,0
5,0,5,4,4,4,0.5113235116004944,0.5113235116004944,0.0,2.084872007369995,2.084872007369995,2.084872007369995,1,1,1,0,0,0,0,0,0,0
6,0,6,2,4,2,0.5409460067749023,0.49802857637405396,0.04291743040084839,0.9295900464057922,0.38122981786727905,0.9295900464057922,0,0,0,1,0,1,0,0,0,0
7,0,7,4,4,4,0.7329790592193604,0.7329790592193604,0.0,3.1810805797576904,3.1810805797576904,3.1810805797576904,1,1,1,0,0,0,0,0,0,0
8,1,0,4,4,4,0.5150302052497864,0.5150302052497864,0.0,4.2020263671875,4.2020263671875,4.2020263671875,1,1,1,0,0,0,0,0,0,0
9,1,1,2,2,2,0.673348605632782,0.673348605632782,0.0,2.3468475341796875,2.3468475341796875,2.3468475341796875,1,1,1,0,0,0,0,0,0,0
10,1,2,2,2,2,0.503663182258606,0.503663182258606,0.0,5.3681206703186035,5.3681206703186035,5.3681206703186035,1,1,1,0,0,0,0,0,0,0
11,1,3,4,4,4,0.5646052360534668,0.5646052360534668,0.0,0.7659639716148376,0.7659639716148376,0.7659639716148376,0,0,0,0,0,0,0,0,0,0
12,1,4,2,4,2,0.7035699486732483,0.6441790461540222,0.059390902519226074,0.9602341651916504,3.097278118133545,0.9602341651916504,0,1,0,1,0,1,1,0,0,0
13,1,5,2,2,2,0.7439903020858765,0.7439903020858765,0.0,2.256817102432251,2.256817102432251,2.256817102432251,1,1,1,0,0,0,0,0,0,0
14,1,6,2,4,2,0.6464320421218872,0.6315858960151672,0.01484614610671997,6.123658657073975,4.6983642578125,6.123658657073975,1,1,1,1,0,1,0,0,0,0
15,1,7,4,4,4,0.42399290204048157,0.42399290204048157,0.0,1.4656872749328613,1.4656872749328613,1.4656872749328613,0,0,0,0,0,0,0,0,0,0
16,2,0,4,4,4,0.8129225373268127,0.8129225373268127,0.0,2.848715305328369,2.848715305328369,2.848715305328369,1,1,1,0,0,0,0,0,0,0
17,2,1,4,4,4,0.7020586133003235,0.7020586133003235,0.0,4.036633491516113,4.036633491516113,4.036633491516113,1,1,1,0,0,0,0,0,0,0
18,2,2,4,4,4,0.6300234198570251,0.6300234198570251,0.0,1.6100504398345947,1.6100504398345947,1.6100504398345947,0,0,0,0,0,0,0,0,0,0
19,2,3,4,4,4,0.37405797839164734,0.37405797839164734,0.0,3.58876895904541,3.58876895904541,3.58876895904541,1,1,1,0,0,0,0,0,0,0
20,2,4,4,2,4,0.21992608904838562,0.196830615401268,0.023095473647117615,0.23694944381713867,0.922986626625061,0.23694944381713867,0,0,0,1,0,1,0,0,0,0
21,2,5,2,4,2,0.6590434908866882,0.5667746067047119,0.09226888418197632,0.27501288056373596,1.462727665901184,0.27501288056373596,0,0,0,1,0,1,0,0,0,0
22,2,6,4,4,4,0.43443652987480164,0.43443652987480164,0.0,4.414255142211914,4.414255142211914,4.414255142211914,1,1,1,0,0,0,0,0,0,0
23,2,7,2,2,2,0.5815421938896179,0.5815421938896179,0.0,9.157437324523926,9.157437324523926,9.157437324523926,1,1,1,0,0,0,0,0,0,0
24,3,0,4,4,4,0.5327224731445312,0.5327224731445312,0.0,1.7568012475967407,1.7568012475967407,1.7568012475967407,0,0,0,0,0,0,0,0,0,0
25,3,1,4,4,4,0.6163718104362488,0.6163718104362488,0.0,2.4896812438964844,2.4896812438964844,2.4896812438964844,1,1,1,0,0,0,0,0,0,0
26,3,2,4,5,5,0.5481235384941101,0.44381970167160034,0.10430383682250977,6.517192840576172,2.4436206817626953,2.4436206817626953,1,1,1,1,1,0,0,0,0,0
27,3,3,4,4,4,0.6598383188247681,0.6598383188247681,0.0,0.27860239148139954,0.27860239148139954,0.27860239148139954,0,0,0,0,0,0,0,0,0,0
28,3,4,4,4,4,0.3243125081062317,0.3243125081062317,0.0,1.4550178050994873,1.4550178050994873,1.4550178050994873,0,0,0,0,0,0,0,0,0,0
29,3,5,4,4,4,0.5878849625587463,0.5878849625587463,0.0,0.9255053400993347,0.9255053400993347,0.9255053400993347,0,0,0,0,0,0,0,0,0,0
30,3,6,5,5,5,0.7247276306152344,0.7247276306152344,0.0,10.95824146270752,10.95824146270752,10.95824146270752,1,1,1,0,0,0,0,0,0,0
31,3,7,4,5,4,0.5769582390785217,0.5466147065162659,0.03034353256225586,8.846805572509766,10.139959335327148,8.846805572509766,1,1,1,1,0,1,0,0,0,0
32,4,0,4,4,4,0.3211151957511902,0.3211151957511902,0.0,2.8113296031951904,2.8113296031951904,2.8113296031951904,1,1,1,0,0,0,0,0,0,0
33,4,1,4,4,4,0.7493810057640076,0.7493810057640076,0.0,0.2642189562320709,0.2642189562320709,0.2642189562320709,0,0,0,0,0,0,0,0,0,0
34,4,2,2,4,2,0.6893798112869263,0.6500261425971985,0.03935366868972778,1.1088981628417969,1.0514546632766724,1.1088981628417969,0,0,0,1,0,1,0,0,0,0
35,4,3,4,4,4,0.7469719052314758,0.7469719052314758,0.0,1.7344138622283936,1.7344138622283936,1.7344138622283936,0,0,0,0,0,0,0,0,0,0
36,4,4,4,4,4,0.788131833076477,0.788131833076477,0.0,1.3962336778640747,1.3962336778640747,1.3962336778640747,0,0,0,0,0,0,0,0,0,0
37,4,5,4,4,4,0.5071544051170349,0.5071544051170349,0.0,2.9913840293884277,2.9913840293884277,2.9913840293884277,1,1,1,0,0,0,0,0,0,0
38,4,6,2,4,2,0.5638267993927002,0.4805167615413666,0.08331003785133362,4.450419902801514,2.451951265335083,4.450419902801514,1,1,1,1,0,1,0,0,0,0
39,4,7,4,4,4,0.5240746736526489,0.5240746736526489,0.0,1.8810560703277588,1.8810560703277588,1.8810560703277588,0,0,0,0,0,0,0,0,0,0
40,5,0,5,4,5,0.6079042553901672,0.5768952965736389,0.03100895881652832,0.7092645168304443,0.808998167514801,0.7092645168304443,0,0,0,1,0,1,0,0,0,0
41,5,1,4,4,4,0.7909526228904724,0.7909526228904724,0.0,0.6599754095077515,0.6599754095077515,0.6599754095077515,0,0,0,0,0,0,0,0,0,0
42,5,2,4,5,4,0.5318126082420349,0.4870983958244324,0.04471421241760254,0.20584307610988617,2.5919759273529053,0.20584307610988617,0,1,0,1,0,1,1,0,0,0
43,5,3,4,4,4,0.5042749643325806,0.5042749643325806,0.0,2.1986422538757324,2.1986422538757324,2.1986422538757324,1,1,1,0,0,0,0,0,0,0
44,5,4,4,4,4,0.5180706977844238,0.5180706977844238,0.0,3.3761487007141113,3.3761487007141113,3.3761487007141113,1,1,1,0,0,0,0,0,0,0
45,5,5,4,4,4,0.35504084825515747,0.35504084825515747,0.0,2.9351046085357666,2.9351046085357666,2.9351046085357666,1,1,1,0,0,0,0,0,0,0
46,5,6,4,4,4,0.6271426677703857,0.6271426677703857,0.0,3.656550168991089,3.656550168991089,3.656550168991089,1,1,1,0,0,0,0,0,0,0
47,5,7,4,4,4,0.7567583322525024,0.7567583322525024,0.0,2.161468267440796,2.161468267440796,2.161468267440796,1,1,1,0,0,0,0,0,0,0
48,6,0,4,4,4,0.4327680170536041,0.4327680170536041,0.0,0.9435689449310303,0.9435689449310303,0.9435689449310303,0,0,0,0,0,0,0,0,0,0
49,6,1,2,4,2,0.7524374723434448,0.7028666734695435,0.04957079887390137,1.6056193113327026,1.859562873840332,1.6056193113327026,0,0,0,1,0,1,0,0,0,0
50,6,2,4,4,4,0.333706259727478,0.333706259727478,0.0,1.3472349643707275,1.3472349643707275,1.3472349643707275,0,0,0,0,0,0,0,0,0,0
51,6,3,4,4,4,0.41474562883377075,0.41474562883377075,0.0,1.0211563110351562,1.0211563110351562,1.0211563110351562,0,0,0,0,0,0,0,0,0,0
52,6,4,4,5,4,0.6934105753898621,0.6180275678634644,0.0753830075263977,5.264655113220215,2.4219512939453125,5.264655113220215,1,1,1,1,0,1,0,0,0,0
53,6,5,5,1,5,0.84454745054245,0.7798715233802795,0.06467592716217041,1.8208876848220825,2.3293800354003906,1.8208876848220825,0,1,0,1,0,1,1,0,0,0
54,6,6,2,2,2,0.6982664465904236,0.6982664465904236,0.0,1.112069845199585,1.112069845199585,1.112069845199585,0,0,0,0,0,0,0,0,0,0
55,6,7,4,4,4,0.7593462467193604,0.7593462467193604,0.0,0.5488749146461487,0.5488749146461487,0.5488749146461487,0,0,0,0,0,0,0,0,0,0
56,7,0,4,4,4,0.7501953840255737,0.7501953840255737,0.0,1.7739728689193726,1.7739728689193726,1.7739728689193726,0,0,0,0,0,0,0,0,0,0
57,7,1,4,4,4,0.5244361758232117,0.5244361758232117,0.0,2.8843319416046143,2.8843319416046143,2.8843319416046143,1,1,1,0,0,0,0,0,0,0
58,7,2,4,4,4,0.41761404275894165,0.41761404275894165,0.0,0.5593557357788086,0.5593557357788086,0.5593557357788086,0,0,0,0,0,0,0,0,0,0
59,7,3,4,4,4,0.5142555236816406,0.5142555236816406,0.0,1.940014362335205,1.940014362335205,1.940014362335205,0,0,0,0,0,0,0,0,0,0
60,7,4,4,4,4,0.6867678165435791,0.6867678165435791,0.0,2.8323283195495605,2.8323283195495605,2.8323283195495605,1,1,1,0,0,0,0,0,0,0
61,7,5,2,2,2,0.5374335050582886,0.5374335050582886,0.0,2.759697914123535,2.759697914123535,2.759697914123535,1,1,1,0,0,0,0,0,0,0
62,7,6,4,4,4,0.8156654834747314,0.8156654834747314,0.0,0.7867032289505005,0.7867032289505005,0.7867032289505005,0,0,0,0,0,0,0,0,0,0
63,7,7,4,4,4,0.5570566058158875,0.5570566058158875,0.0,1.0632468461990356,1.0632468461990356,1.0632468461990356,0,0,0,0,0,0,0,0,0,0
64,8,0,4,4,4,0.5775072574615479,0.5775072574615479,0.0,1.306283712387085,1.306283712387085,1.306283712387085,0,0,0,0,0,0,0,0,0,0
65,8,1,2,0,0,0.47216275334358215,0.32934725284576416,0.142815500497818,6.670825958251953,8.662885665893555,8.662885665893555,1,1,1,1,1,0,0,0,0,0
66,8,2,2,2,2,0.47157981991767883,0.47157981991767883,0.0,1.8009265661239624,1.8009265661239624,1.8009265661239624,0,0,0,0,0,0,0,0,0,0
67,8,3,4,4,4,0.7002394795417786,0.7002394795417786,0.0,0.8608208894729614,0.8608208894729614,0.8608208894729614,0,0,0,0,0,0,0,0,0,0
68,8,4,4,5,4,0.5943982601165771,0.5773403644561768,0.01705789566040039,3.5950233936309814,5.345468521118164,3.5950233936309814,1,1,1,1,0,1,0,0,0,0
69,8,5,2,4,2,0.7789673209190369,0.7602836489677429,0.018683671951293945,0.6763233542442322,0.8327561616897583,0.6763233542442322,0,0,0,1,0,1,0,0,0,0
70,8,6,4,4,4,0.7430776357650757,0.7430776357650757,0.0,1.4843724966049194,1.4843724966049194,1.4843724966049194,0,0,0,0,0,0,0,0,0,0
71,8,7,4,4,4,0.7399297952651978,0.7399297952651978,0.0,2.0977118015289307,2.0977118015289307,2.0977118015289307,1,1,1,0,0,0,0,0,0,0
72,9,0,5,4,5,0.6279851198196411,0.5582771301269531,0.06970798969268799,3.443347454071045,2.156386375427246,3.443347454071045,1,1,1,1,0,1,0,0,0,0
73,9,1,4,4,4,0.5740620493888855,0.5740620493888855,0.0,1.0734714269638062,1.0734714269638062,1.0734714269638062,0,0,0,0,0,0,0,0,0,0
