rerank_margin,rerank_guard,rerank_guard_label,original_minADE,original_minFDE,original_minMR,reranked_minADE,reranked_minFDE,reranked_minMR,rerank_top1_change_rate,case_count,case_original_mr,case_reranked_mr,case_mean_fde_delta,case_hit_to_miss_count,case_miss_to_hit_count,case_still_miss_improved_count,case_still_miss_worsened_count,case_still_miss_unchanged_count,case_still_hit_improved_count,case_still_hit_worsened_count,case_still_hit_unchanged_count
0.0,0.0,0.000,1.198632836341858,2.575923442840576,0.42578125,1.1959987878799438,2.547537326812744,0.46875,0.25,256,0.42578125,0.46875,-0.02838580682873726,14,3,17,11,78,8,11,114
0.0,0.1,0.100,1.1986327171325684,2.5759236812591553,0.42578125,1.195999026298523,2.547537088394165,0.46875,0.25,256,0.42578125,0.46875,-0.028385784476995468,14,3,17,11,78,8,11,114
0.0,0.2,0.200,1.1986325979232788,2.575923442840576,0.42578125,1.1959989070892334,2.5475375652313232,0.46875,0.25,256,0.42578125,0.46875,-0.028385691344738007,14,3,17,11,78,8,11,114
0.0,0.3,0.300,1.198632836341858,2.5759236812591553,0.42578125,1.194541096687317,2.544857978820801,0.46875,0.24609375,256,0.42578125,0.46875,-0.031065572053194046,14,3,17,11,78,8,10,115
0.05,0.0,0.000,1.1986327171325684,2.5759236812591553,0.42578125,1.164918065071106,2.4846303462982178,0.4453125,0.12109375,256,0.42578125,0.4453125,-0.09129319339990616,6,1,12,6,90,3,3,135
0.05,0.1,0.100,1.1986327171325684,2.575923442840576,0.42578125,1.1649181842803955,2.484630584716797,0.4453125,0.12109375,256,0.42578125,0.4453125,-0.09129317104816437,6,1,12,6,90,3,3,135
0.05,0.2,0.200,1.198632836341858,2.5759236812591553,0.42578125,1.164918065071106,2.484630823135376,0.4453125,0.12109375,256,0.42578125,0.4453125,-0.09129314124584198,6,1,12,6,90,3,3,135
0.05,0.3,0.300,1.1986325979232788,2.575923204421997,0.42578125,1.164918065071106,2.4846301078796387,0.4453125,0.12109375,256,0.42578125,0.4453125,-0.09129319339990616,6,1,12,6,90,3,3,135
0.1,0.0,0.000,1.1986327171325684,2.5759239196777344,0.42578125,1.1673678159713745,2.4930317401885986,0.421875,0.0234375,256,0.42578125,0.421875,-0.08289196342229843,0,1,3,1,104,1,0,146
0.1,0.1,0.100,1.198632836341858,2.575923442840576,0.42578125,1.1673678159713745,2.4930315017700195,0.421875,0.0234375,256,0.42578125,0.421875,-0.08289197832345963,0,1,3,1,104,1,0,146
0.1,0.2,0.200,1.198632836341858,2.5759236812591553,0.42578125,1.167367935180664,2.4930312633514404,0.421875,0.0234375,256,0.42578125,0.421875,-0.08289196342229843,0,1,3,1,104,1,0,146
0.1,0.3,0.300,1.1986329555511475,2.575923442840576,0.42578125,1.1673680543899536,2.4930315017700195,0.421875,0.0234375,256,0.42578125,0.421875,-0.08289197087287903,0,1,3,1,104,1,0,146
0.15,0.0,0.000,1.1986327171325684,2.575923442840576,0.42578125,1.1720165014266968,2.5033016204833984,0.421875,0.01171875,256,0.42578125,0.421875,-0.07262208312749863,0,1,2,0,106,0,0,147
0.15,0.1,0.100,1.1986327171325684,2.575923442840576,0.42578125,1.1720165014266968,2.5033016204833984,0.421875,0.01171875,256,0.42578125,0.421875,-0.07262207567691803,0,1,2,0,106,0,0,147
0.15,0.2,0.200,1.1986327171325684,2.575923204421997,0.42578125,1.1720166206359863,2.5033011436462402,0.421875,0.01171875,256,0.42578125,0.421875,-0.07262209057807922,0,1,2,0,106,0,0,147
0.15,0.3,0.300,1.198632836341858,2.5759236812591553,0.42578125,1.1720166206359863,2.5033016204833984,0.421875,0.01171875,256,0.42578125,0.421875,-0.07262209057807922,0,1,2,0,106,0,0,147
0.2,0.0,0.000,1.1986327171325684,2.5759236812591553,0.42578125,1.1986327171325684,2.5759236812591553,0.42578125,0.0,256,0.42578125,0.42578125,0.0,0,0,0,0,109,0,0,147
0.2,0.1,0.100,1.1986329555511475,2.575923442840576,0.42578125,1.1986329555511475,2.575923442840576,0.42578125,0.0,256,0.42578125,0.42578125,0.0,0,0,0,0,109,0,0,147
0.2,0.2,0.200,1.198632836341858,2.575923442840576,0.42578125,1.198632836341858,2.575923442840576,0.42578125,0.0,256,0.42578125,0.42578125,0.0,0,0,0,0,109,0,0,147
0.2,0.3,0.300,1.198632836341858,2.5759236812591553,0.42578125,1.198632836341858,2.5759236812591553,0.42578125,0.0,256,0.42578125,0.42578125,0.0,0,0,0,0,109,0,0,147
